step,epoch,loss,grad_norm,learning_rate,entropy,mean_token_accuracy,timestamp
625,0.2856163601051068,2.316886329650879,1.0078125,2.444717528585338e-05,2.2088799268007278,0.5533766180276871,2026-08-08T13:19:26
630,0.2879012909859477,2.0827993392944335,0.578125,2.443834763368923e-05,2.2141481965780256,0.5445460461080074,2026-08-08T13:20:29
635,0.29018622186678855,2.3013774871826174,0.5546875,2.4429451676959204e-05,2.2334056556224824,0.5580095820128917,2026-08-08T13:21:46
640,0.29247115274762936,2.2312341690063477,0.578125,2.442048746656101e-05,2.2408852607011793,0.5496124468743802,2026-08-08T13:23:02
645,0.2947560836284702,2.2023603439331056,0.5546875,2.4411455053782857e-05,2.253497852385044,0.5477555632591248,2026-08-08T13:24:17
650,0.2970410145093111,2.6145662307739257,0.57421875,2.440235449030317e-05,2.5353049874305724,0.49870272167026997,2026-08-08T13:25:42
655,0.29932594539015195,2.2950231552124025,0.546875,2.43931858281903e-05,2.3359094619750977,0.5279951509088278,2026-08-08T13:27:01
660,0.3016108762709928,2.2558122634887696,0.494140625,2.4383949119902216e-05,2.3303387448191644,0.529858372360468,2026-08-08T13:28:03
665,0.3038958071518337,2.425114631652832,0.5078125,2.437464441828621e-05,2.4147968620061873,0.5310876362025738,2026-08-08T13:29:13
670,0.30618073803267454,2.233249473571777,0.54296875,2.4365271776578596e-05,2.185474845767021,0.5564377620816231,2026-08-08T13:30:24
675,0.30846566891351535,2.3778043746948243,0.55859375,2.4355831248404402e-05,2.411145934462547,0.5129841901361942,2026-08-08T13:31:33
680,0.3107505997943562,2.3786396026611327,0.62109375,2.4346322887777063e-05,2.2888224363327025,0.5436777301132679,2026-08-08T13:32:38
685,0.31303553067519707,2.329394721984863,0.54296875,2.433674674909811e-05,2.2833431169390677,0.530185405164957,2026-08-08T13:33:49
690,0.31532046155603793,2.282143974304199,0.5078125,2.4327102887156876e-05,2.2752194821834566,0.5374421715736389,2026-08-08T13:35:11
695,0.3176053924368788,2.5047836303710938,0.60546875,2.4317391357130155e-05,2.371758633852005,0.5264154937118292,2026-08-08T13:36:37
700,0.31989032331771966,2.2787155151367187,0.58203125,2.4307612214581903e-05,2.3448183059692385,0.5307481437921524,2026-08-08T13:38:01
705,0.32217525419856047,2.4367408752441406,0.61328125,2.4297765515462924e-05,2.426432579755783,0.5235877282917499,2026-08-08T13:39:14
710,0.32446018507940133,2.344696617126465,0.44921875,2.428785131611053e-05,2.3519080013036726,0.53758295327425,2026-08-08T13:40:29
715,0.3267451159602422,2.3432170867919924,0.515625,2.4277869673248246e-05,2.3109175264835358,0.5376813381910324,2026-08-08T13:41:45
720,0.32903004684108306,2.2309703826904297,0.5859375,2.426782064398546e-05,2.221955192089081,0.5520389154553413,2026-08-08T13:42:50
725,0.3313149777219239,2.5533313751220703,0.470703125,2.4257704285817117e-05,2.456788073480129,0.5089170061051845,2026-08-08T13:44:00
730,0.3335999086027648,2.336952972412109,0.51171875,2.4247520656623375e-05,2.3644605189561845,0.5212931700050831,2026-08-08T13:45:22
735,0.33588483948360565,2.2448657989501952,0.498046875,2.4237269814669276e-05,2.3139345780014993,0.5385194681584835,2026-08-08T13:46:43
740,0.33816977036444645,2.3990833282470705,0.484375,2.4226951818604424e-05,2.358024054765701,0.5310714192688465,2026-08-08T13:47:57
745,0.3404547012452873,2.2278026580810546,0.55078125,2.421656672746263e-05,2.284704652428627,0.5350186249241233,2026-08-08T13:48:57
750,0.3427396321261282,2.09155216217041,0.5546875,2.42061146006616e-05,2.11702461540699,0.5706298865377903,2026-08-08T13:50:08
755,0.34502456300696904,2.437282752990723,0.56640625,2.419559549800257e-05,2.4377276450395584,0.516344852745533,2026-08-08T13:51:19
760,0.3473094938878099,2.2207475662231446,0.57421875,2.418500947966998e-05,2.2917013600468636,0.5373079270124436,2026-08-08T13:52:36
765,0.34959442476865077,2.4919795989990234,0.55859375,2.417435660623112e-05,2.475617083907127,0.5112026147544384,2026-08-08T13:53:58
770,0.3518793556494916,2.3673290252685546,0.5703125,2.4163636938635785e-05,2.3563539505004885,0.5256942931562663,2026-08-08T13:55:15
775,0.35416428653033244,2.165115737915039,0.5390625,2.4152850538215943e-05,2.1355454683303834,0.5652469955384731,2026-08-08T13:56:29
780,0.3564492174111733,2.452963447570801,0.60546875,2.4141997466685357e-05,2.433699223399162,0.5215770374983549,2026-08-08T13:57:35
785,0.35873414829201417,2.6378679275512695,0.49609375,2.4131077786139244e-05,2.5261326372623443,0.5089943252503872,2026-08-08T13:58:50
790,0.36101907917285503,2.455792045593262,0.55859375,2.412009155905393e-05,2.440072426199913,0.5200730759650469,2026-08-08T14:00:16
795,0.3633040100536959,2.2589797973632812,0.515625,2.4109038848286474e-05,2.2359084859490395,0.5500745996832848,2026-08-08T14:01:28
800,0.36558894093453675,2.4524089813232424,0.59375,2.4097919717074326e-05,2.365326863527298,0.5366018086671829,2026-08-08T14:02:44
805,0.36787387181537756,2.199494171142578,0.56640625,2.408673422903495e-05,2.2400608628988268,0.5481799080967903,2026-08-08T14:03:43
810,0.3701588026962184,2.0570648193359373,0.54296875,2.4075482448165472e-05,2.07074344009161,0.5849832966923714,2026-08-08T14:04:57
815,0.3724437335770593,2.629547882080078,0.474609375,2.4064164438842302e-05,2.51803721934557,0.5081282660365105,2026-08-08T14:06:12
820,0.37472866445790015,2.2666940689086914,0.5703125,2.4052780265820775e-05,2.172673110663891,0.557003591954708,2026-08-08T14:07:20
825,0.377013595338741,2.4501806259155274,0.5703125,2.4041329994234784e-05,2.4384125471115112,0.5017326418310404,2026-08-08T14:08:33
830,0.3792985262195819,2.3401493072509765,0.62109375,2.402981368959639e-05,2.2621179789304735,0.5461688652634621,2026-08-08T14:09:46
835,0.3815834571004227,2.129199981689453,0.51953125,2.4018231417795476e-05,2.153100776672363,0.5540717408061028,2026-08-08T14:10:54
840,0.38386838798126355,2.3190078735351562,0.52734375,2.400658324509933e-05,2.2946405917406083,0.5364163756370545,2026-08-08T14:12:19
845,0.3861533188621044,2.225476837158203,0.56640625,2.3994869238152297e-05,2.2941923186182978,0.5420579433441162,2026-08-08T14:13:28
850,0.3884382497429453,2.2737287521362304,0.6171875,2.3983089463975396e-05,2.2450606897473335,0.5500588111579419,2026-08-08T14:14:38
855,0.39072318062378614,2.375843620300293,0.484375,2.3971243989965925e-05,2.3393700629472733,0.5355440847575664,2026-08-08T14:15:49
860,0.393008111504627,2.2143598556518556,0.69140625,2.395933288389707e-05,2.279311737418175,0.5330911368131638,2026-08-08T14:16:52
865,0.39529304238546786,2.5044109344482424,0.54296875,2.394735621391755e-05,2.43871565759182,0.5163839712738991,2026-08-08T14:18:06
870,0.39757797326630867,2.3804000854492187,0.515625,2.3935314048551182e-05,2.2987663760781287,0.5351667426526546,2026-08-08T14:19:15
875,0.39986290414714953,2.4059576034545898,0.515625,2.3923206456696517e-05,2.39531646668911,0.5219181165099144,2026-08-08T14:20:42
880,0.4021478350279904,2.1909791946411135,0.4375,2.3911033507626444e-05,2.1863365665078165,0.5657343417406082,2026-08-08T14:22:04
885,0.40443276590883126,2.5264291763305664,0.68359375,2.389879527098779e-05,2.4532944574952125,0.516002681106329,2026-08-08T14:23:12
